dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,0,    4172.721503
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,1,    3972.678859
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,2,    3972.788109
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,3,    3956.374170
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,4,    3989.727397
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,5,    3960.316061
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,6,    3953.657352
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,7,    3956.357165
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,8,    3986.424561
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,9,    3981.443732
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,10,    3948.893977
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,11,    3954.647842
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,12,    3940.533758
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,13,    3947.971406
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,14,    3959.598262
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,15,    3987.325621
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,16,    4012.940926
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,17,    3970.371313
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,18,    3936.312984
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,19,    3943.163402
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,20,    3940.123840
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,21,    3950.566133
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,22,    3936.699490
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,23,    3952.430391
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,24,    3951.210139
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,25,    3940.585606
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,26,    3943.089660
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,27,    3957.343302
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,28,    3940.992022
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,29,    3981.296925
