dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,0,     216.381903
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,1,     219.944223
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,2,     217.917578
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,3,     214.093844
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,4,     220.739432
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,5,     216.616917
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,6,     215.309143
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,7,     219.546724
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,8,     216.696196
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,9,     218.703634
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,10,     222.875988
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,11,     218.126805
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,12,     216.839373
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,13,     217.897811
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,14,     217.903551
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,15,     216.555876
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,16,     220.062904
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,17,     219.411315
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,18,     222.024187
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,19,     216.355680
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,20,     218.268059
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,21,     217.037796
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,22,     218.783824
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,23,     216.243780
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,24,     218.325841
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,25,     221.053254
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,26,     219.196869
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,27,     225.031425
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,28,     221.368912
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,29,     217.385772
