dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,0,    2143.308022
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,1,    2141.599225
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,2,    2138.164736
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,3,    2143.921220
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,4,    2140.716764
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,5,    2136.605279
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,6,    2136.351645
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,7,    2134.742407
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,8,    2138.228066
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,9,    2142.376611
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,10,    2127.285352
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,11,    2136.177417
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,12,    2130.882837
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,13,    2136.312496
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,14,    2141.089861
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,15,    2144.114743
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,16,    2140.338125
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,17,    2141.507918
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,18,    2136.260658
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,19,    2136.131315
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,20,    2140.282448
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,21,    2138.502187
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,22,    2134.848723
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,23,    2135.131368
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,24,    2130.805147
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,25,    2134.065152
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,26,    2137.660429
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,27,    2136.377096
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,28,    2141.721278
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,29,    2140.953090
