dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,0,      51.784031
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,1,      47.389146
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,2,      47.053184
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,3,      47.185778
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,4,      47.436426
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,5,      47.097467
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,6,      47.052138
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,7,      47.062869
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,8,      47.265700
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,9,      47.119539
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,10,      47.160857
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,11,      47.273087
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,12,      49.116972
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,13,      50.232966
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,14,      49.142084
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,15,      47.560945
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,16,      47.170265
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,17,      47.222643
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,18,      47.102263
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,19,      47.746387
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,20,      47.520083
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,21,      47.341312
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,22,      46.983032
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,23,      47.103264
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,24,      47.045440
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,25,      47.212408
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,26,      47.005276
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,27,      47.151101
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,28,      47.222908
3,float,uniform,PoisFFT,"P | P | P | P | N | D",8,161,29,      47.286668
