dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,0,     222.352070
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,1,     218.678779
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,2,     218.712925
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,3,     218.515440
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,4,     214.626956
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,5,     214.458945
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,6,     216.951960
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,7,     216.857176
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,8,     217.138920
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,9,     214.396945
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,10,     218.274369
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,11,     222.192334
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,12,     213.402093
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,13,     214.398259
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,14,     212.692667
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,15,     214.128385
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,16,     209.753675
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,17,     215.688076
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,18,     220.526382
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,19,     214.325128
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,20,     215.650015
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,21,     219.745856
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,22,     215.916219
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,23,     217.287064
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,24,     218.611760
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,25,     214.188771
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,26,     215.363077
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,27,     214.896529
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,28,     214.812592
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,29,     216.314725
