dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,0,    4060.999215
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,1,    3993.873628
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,2,    4031.151354
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,3,    3975.229863
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,4,    3973.110128
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,5,    3989.774786
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,6,    4016.164142
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,7,    3974.178201
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,8,    3966.046924
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,9,    3968.154929
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,10,    3979.375966
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,11,    3962.262120
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,12,    3970.455360
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,13,    3972.787759
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,14,    3960.268515
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,15,    3969.743864
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,16,    3969.861619
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,17,    3973.774813
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,18,    4011.118290
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,19,    3982.635939
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,20,    3990.851074
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,21,    3963.492693
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,22,    3962.450774
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,23,    3964.911385
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,24,    3958.634372
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,25,    3961.473509
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,26,    4011.878931
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,27,    3960.622774
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,28,    3978.972487
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,465,29,    3954.640101
