dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,0,      49.147312
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,1,      45.409875
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,2,      45.054240
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,3,      45.454723
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,4,      44.948984
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,5,      44.930497
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,6,      45.424514
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,7,      45.371697
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,8,      45.340191
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,9,      44.939051
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,10,      44.856127
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,11,      45.866931
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,12,      46.799123
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,13,      47.026787
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,14,      45.752090
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,15,      47.322799
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,16,      45.476717
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,17,      45.015435
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,18,      44.818342
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,19,      44.736957
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,20,      45.057307
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,21,      45.438122
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,22,      45.258356
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,23,      45.083688
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,24,      45.263962
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,25,      45.190894
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,26,      45.161648
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,27,      45.344848
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,28,      44.862357
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,29,      45.107079
