dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,0,      43.386854
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,1,      42.385439
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,2,      42.276576
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,3,      42.320659
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,4,      42.518459
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,5,      44.573751
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,6,      42.277696
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,7,      45.178453
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,8,      47.182838
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,9,      42.495089
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,10,      42.230005
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,11,      42.082375
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,12,      42.247290
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,13,      42.274132
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,14,      42.342665
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,15,      42.472275
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,16,      42.307480
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,17,      42.331082
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,18,      42.401469
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,19,      42.189873
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,20,      42.221524
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,21,      42.201417
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,22,      42.461242
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,23,      42.235625
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,24,      42.633856
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,25,      42.205369
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,26,      42.304200
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,27,      42.275741
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,28,      42.163023
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,29,      42.144323
