dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,0,    5904.604446
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,1,    5670.293511
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,2,    5653.768075
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,3,    5663.077308
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,4,    5688.780533
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,5,    5641.118324
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,6,    5645.635064
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,7,    5657.328817
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,8,    5648.068119
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,9,    5625.148433
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,10,    5650.681635
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,11,    5642.845778
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,12,    5680.801832
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,13,    5670.749409
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,14,    5675.309153
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,15,    5668.122399
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,16,    5636.231665
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,17,    5643.048897
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,18,    5661.401567
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,19,    5654.173359
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,20,    5635.417027
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,21,    5678.805561
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,22,    5643.536120
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,23,    5676.318854
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,24,    5648.985604
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,25,    5651.427246
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,26,    5660.238133
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,27,    5658.593822
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,28,    5664.641672
3,double,uniform,PoisFFT,"D | D | D | D | D | D",4,406,29,    5641.808551
