dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,0,      82.661441
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,1,      77.317696
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,2,      77.231590
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,3,      77.182376
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,4,      76.991895
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,5,      77.070113
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,6,      77.369431
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,7,      77.229152
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,8,      79.634128
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,9,      78.188519
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,10,      77.179703
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,11,      77.190456
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,12,      78.284946
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,13,      77.203399
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,14,      77.200403
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,15,      77.199837
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,16,      77.265762
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,17,      77.082272
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,18,      77.029021
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,19,      77.202402
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,20,      77.267403
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,21,      77.176490
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,22,      77.068709
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,23,      77.037814
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,24,      77.182796
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,25,      77.353499
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,26,      77.020484
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,27,      77.310135
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,28,      77.374855
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",8,161,29,      77.162131
