dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,0,    2947.736489
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,1,    2911.580086
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,2,    2898.433446
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,3,    2893.382025
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,4,    2872.318072
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,5,    2875.289050
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,6,    2870.430447
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,7,    2871.693014
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,8,    2879.847316
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,9,    2871.082850
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,10,    2865.326857
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,11,    2865.823743
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,12,    2867.309481
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,13,    2866.883357
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,14,    2879.973493
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,15,    2872.208321
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,16,    2866.822937
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,17,    2871.421789
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,18,    2867.325041
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,19,    2873.251155
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,20,    2865.998200
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,21,    2864.059607
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,22,    2863.600476
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,23,    2867.110937
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,24,    2863.705878
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,25,    2863.770814
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,26,    2863.321095
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,27,    2859.910839
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,28,    2861.763370
3,float,uniform,PoisFFT,"P | P | P | P | D | N",6,465,29,    2861.363612
