dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,0,    1703.169921
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,1,    1611.583323
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,2,    1613.051369
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,3,    1603.189709
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,4,    1589.853360
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,5,    1604.423545
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,6,    1607.592324
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,7,    1608.981000
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,8,    1606.983193
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,9,    1610.068322
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,10,    1608.052000
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,11,    1608.350996
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,12,    1612.008255
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,13,    1611.235808
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,14,    1600.432902
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,15,    1606.188651
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,16,    1608.918185
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,17,    1601.207276
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,18,    1596.578867
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,19,    1609.159538
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,20,    1612.709881
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,21,    1606.569710
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,22,    1607.210789
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,23,    1610.836028
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,24,    1614.050227
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,25,    1611.601030
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,26,    1614.646453
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,27,    1609.599898
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,28,    1610.178085
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,323,29,    1614.157991
