dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,0,      68.043370
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,1,      67.323514
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,2,      67.220819
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,3,      67.067016
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,4,      70.299182
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,5,      67.235523
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,6,      67.327109
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,7,      67.430460
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,8,      67.326935
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,9,      67.232254
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,10,      67.337699
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,11,      66.838200
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,12,      66.745665
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,13,      66.910284
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,14,      66.760551
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,15,      66.680654
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,16,      67.062079
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,17,      67.224612
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,18,      67.638643
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,19,      67.377104
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,20,      67.378855
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,21,      67.465262
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,22,      67.417502
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,23,      67.278336
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,24,      67.319145
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,25,      67.249050
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,26,      67.201307
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,27,      67.273800
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,28,      67.171100
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,29,      67.409900
