dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,0,      73.672401
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,1,      71.369009
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,2,      73.286876
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,3,      71.571892
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,4,      75.095496
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,5,      72.491248
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,6,      72.507387
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,7,      71.586546
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,8,      72.319931
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,9,      72.104253
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,10,      71.123249
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,11,      71.569110
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,12,      74.208571
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,13,      72.103480
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,14,      72.128286
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,15,      71.431458
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,16,      72.053629
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,17,      71.842022
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,18,      71.768317
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,19,      71.661102
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,20,      72.686118
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,21,      71.965609
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,22,      71.945002
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,23,      71.541252
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,24,      72.197194
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,25,      71.770918
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,26,      71.743799
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,27,      72.217499
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,28,      72.736149
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,29,      73.934225
