dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,0,      56.204363
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,1,      50.497916
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,2,      49.841613
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,3,      50.101919
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,4,      53.011287
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,5,      54.918639
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,6,      50.982765
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,7,      50.384885
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,8,      49.964538
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,9,      50.289447
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,10,      50.501207
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,11,      50.535906
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,12,      50.151778
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,13,      49.702933
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,14,      50.272999
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,15,      50.425760
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,16,      49.853839
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,17,      49.982592
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,18,      49.702681
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,19,      50.363598
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,20,      50.842057
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,21,      50.245874
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,22,      50.195658
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,23,      50.102550
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,24,      49.998106
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,25,      50.913078
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,26,      50.313146
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,27,      50.117843
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,28,      49.705879
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",32,256,29,      50.023466
