dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,0,     956.434532
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,1,     961.934345
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,2,     958.902604
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,3,     963.258890
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,4,     960.778488
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,5,     960.173633
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,6,     961.323976
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,7,     956.550854
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,8,     958.289843
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,9,     958.731450
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,10,     960.034414
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,11,     958.438858
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,12,     962.374216
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,13,     959.124209
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,14,     960.283810
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,15,     961.281091
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,16,     960.311760
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,17,     960.335179
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,18,     959.115339
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,19,     963.754204
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,20,     961.025759
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,21,     960.132595
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,22,     959.217342
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,23,     961.200248
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,24,     960.154229
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,25,     959.653076
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,26,     960.130005
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,27,     960.306546
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,28,     959.663348
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,256,29,     960.707301
