dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,0,     961.226035
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,1,     959.438960
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,2,     960.754558
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,3,     960.002938
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,4,     958.551879
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,5,     960.058047
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,6,     959.359247
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,7,     960.002369
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,8,     956.807008
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,9,     957.053681
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,10,     957.912863
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,11,     959.948067
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,12,     958.070979
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,13,     958.051893
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,14,     958.413195
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,15,     959.639026
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,16,     958.942981
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,17,     959.353591
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,18,     959.449314
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,19,     960.752670
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,20,     960.487272
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,21,     960.844884
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,22,     958.737197
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,23,     957.215705
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,24,     958.205943
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,25,     959.272561
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,26,     959.071588
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,27,     959.813609
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,28,     959.536210
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,256,29,     961.667987
