dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,0,     103.154452
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,1,      99.249701
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,2,      99.839522
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,3,      99.472485
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,4,     104.543387
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,5,      99.501664
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,6,      99.482779
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,7,      99.364279
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,8,      99.666120
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,9,      99.583387
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,10,      99.544863
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,11,      99.113309
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,12,     102.461196
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,13,      99.641386
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,14,      99.744640
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,15,      99.224108
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,16,      99.199232
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,17,      99.268881
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,18,      99.376162
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,19,      99.492312
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,20,      99.169334
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,21,      99.479597
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,22,     101.587202
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,23,     100.443900
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,24,      99.374831
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,25,      99.210292
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,26,      99.251897
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,27,      99.054007
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,28,      99.365185
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,203,29,      99.446162
