dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,0,      59.781743
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,1,      58.753842
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,2,      59.053043
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,3,      58.683440
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,4,      58.328357
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,5,      57.733429
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,6,      62.526683
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,7,      58.777922
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,8,      57.882987
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,9,      57.870969
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,10,      58.300031
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,11,      59.092765
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,12,      59.512265
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,13,      58.749913
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,14,      58.738389
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,15,      59.307752
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,16,      58.654672
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,17,      58.628822
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,18,      59.143335
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,19,      58.470814
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,20,      58.801313
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,21,      58.765642
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,22,      58.947789
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,23,      58.279425
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,24,      58.677414
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,25,      58.729474
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,26,      58.438796
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,27,      58.288472
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,28,      58.882458
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,29,      58.386465
