dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,0,      70.350558
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,1,      66.456598
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,2,      66.313163
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,3,      64.485129
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,4,      65.060297
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,5,      64.970661
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,6,      66.812720
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,7,      66.507760
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,8,      70.454174
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,9,      64.560555
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,10,      65.769389
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,11,      66.557089
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,12,      65.234757
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,13,      65.904787
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,14,      66.430566
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,15,      65.298297
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,16,      65.934881
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,17,      66.018629
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,18,      67.110245
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,19,      66.815453
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,20,      66.075345
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,21,      65.697448
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,22,      66.248859
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,23,      65.807523
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,24,      66.148505
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,25,      64.406861
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,26,      65.813357
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,27,      65.460143
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,28,      65.555450
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,29,      65.054122
