dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,0,      69.998097
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,1,      65.884884
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,2,      64.938879
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,3,      65.446821
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,4,      65.614014
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,5,      65.467369
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,6,      65.312946
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,7,      65.459279
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,8,      65.256688
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,9,      65.305614
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,10,      65.469962
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,11,      65.478552
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,12,      65.319433
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,13,      65.156798
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,14,      65.401378
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,15,      65.382118
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,16,      65.090311
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,17,      65.759325
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,18,      65.402139
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,19,      65.306473
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,20,      65.285836
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,21,      65.306582
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,22,      65.359533
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,23,      65.175477
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,24,      65.186576
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,25,      65.738924
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,26,      68.336295
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,27,      65.250727
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,28,      65.277157
3,double,uniform,PoisFFT,"P | P | P | P | D | N",32,256,29,      65.456404
