dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,0,     303.635327
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,1,     494.443862
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,2,     297.237267
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,3,     295.613756
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,4,     296.519476
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,5,     304.889821
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,6,     330.798430
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,7,     324.744330
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,8,     312.855137
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,9,     313.139011
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,10,     320.901202
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,11,     324.778897
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,12,     300.675046
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,13,     298.764750
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,14,     304.863871
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,15,     488.973589
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,16,     310.111880
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,17,     358.118673
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,18,     301.346730
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,19,     303.977142
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,20,     292.911176
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,21,     299.375601
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,22,     297.921179
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,23,     295.660924
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,24,     301.593290
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,25,     304.360087
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,26,     293.772950
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,27,     302.522014
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,28,     296.471180
3,double,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,29,     480.774938
