dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,0,      70.284256
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,1,      70.335308
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,2,      69.951358
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,3,      70.889359
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,4,      70.301371
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,5,      70.030844
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,6,      70.397059
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,7,      69.965770
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,8,      70.187353
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,9,      70.655971
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,10,      70.542159
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,11,      71.740141
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,12,      70.041527
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,13,      70.010242
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,14,      69.797622
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,15,      70.202961
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,16,      69.969785
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,17,      70.009299
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,18,      70.402619
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,19,      70.434173
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,20,      72.018476
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,21,      75.226024
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,22,      75.278285
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,23,      73.023125
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,24,      70.722853
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,25,      69.768422
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,26,      69.772594
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,27,      70.049363
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,28,      70.019696
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,29,      70.221494
