dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,0,     231.829973
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,1,     216.694934
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,2,     216.828233
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,3,     218.471269
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,4,     222.318854
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,5,     218.073352
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,6,     219.658933
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,7,     220.592203
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,8,     222.429521
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,9,     219.145215
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,10,     220.963468
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,11,     223.965262
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,12,     212.582532
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,13,     221.504230
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,14,     219.227398
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,15,     223.879526
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,16,     220.102504
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,17,     223.632226
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,18,     221.057789
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,19,     224.549512
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,20,     224.225119
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,21,     219.969981
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,22,     221.943455
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,23,     219.885992
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,24,     216.697739
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,25,     214.721369
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,26,     222.313498
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,27,     222.032264
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,28,     218.557972
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,323,29,     220.140663
