dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,0,    3673.413128
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,1,    3502.507209
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,2,    3492.552937
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,3,    3492.214500
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,4,    3499.178701
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,5,    3498.142279
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,6,    3486.838967
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,7,    3481.865550
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,8,    3476.558881
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,9,    3467.749326
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,10,    3465.197486
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,11,    3463.945793
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,12,    3472.283799
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,13,    3466.790119
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,14,    3469.679645
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,15,    3467.887700
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,16,    3473.057310
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,17,    3472.315726
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,18,    3466.984963
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,19,    3460.874972
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,20,    3466.244824
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,21,    3469.958525
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,22,    3467.378332
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,23,    3470.169173
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,24,    3466.427578
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,25,    3478.414214
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,26,    3469.281429
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,27,    3475.662739
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,28,    3469.090648
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,29,    3467.254049
