dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,0,    1069.945314
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,1,    1073.080096
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,2,    1074.960425
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,3,    1074.497344
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,4,    1073.599181
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,5,    1073.173140
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,6,    1073.305902
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,7,    1073.097168
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,8,    1072.074428
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,9,    1073.846555
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,10,    1072.554917
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,11,    1072.909878
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,12,    1073.628871
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,13,    1072.256727
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,14,    1072.675342
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,15,    1073.930384
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,16,    1073.284686
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,17,    1072.576050
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,18,    1073.357041
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,19,    1071.975776
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,20,    1073.278814
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,21,    1073.188693
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,22,    1073.166170
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,23,    1073.141270
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,24,    1072.433736
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,25,    1073.195395
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,26,    1071.897196
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,27,    1072.791153
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,28,    1072.960296
3,double,uniform,PoisFFT,"P | P | P | P | N | D",1,256,29,    1073.171877
