dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,0,      74.583205
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,1,      72.629079
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,2,      72.384064
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,3,      71.850920
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,4,      73.564121
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,5,      72.942390
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,6,      72.104393
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,7,      72.288985
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,8,      72.847953
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,9,      71.749411
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,10,      71.518042
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,11,      72.425965
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,12,      72.366075
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,13,      71.749079
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,14,      72.462928
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,15,      73.018510
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,16,      71.986877
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,17,      72.315847
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,18,      71.387699
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,19,      72.263355
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,20,      71.666485
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,21,      72.531822
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,22,      71.801194
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,23,      72.018373
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,24,      74.935701
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,25,      72.556429
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,26,      71.722383
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,27,      72.373556
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,28,      72.515320
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",8,161,29,      74.299632
