dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,0,    1169.247459
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,1,    1176.577799
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,2,    1176.736175
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,3,    1175.357067
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,4,    1177.820779
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,5,    1175.034246
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,6,    1175.262199
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,7,    1176.308958
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,8,    1175.029683
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,9,    1176.386008
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,10,    1174.280380
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,11,    1176.735837
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,12,    1175.604961
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,13,    1175.470837
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,14,    1175.588219
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,15,    1175.152206
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,16,    1175.182056
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,17,    1176.461337
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,18,    1174.596052
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,19,    1175.228569
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,20,    1177.843135
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,21,    1175.529578
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,22,    1176.923027
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,23,    1177.519648
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,24,    1177.763987
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,25,    1175.516031
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,26,    1175.607887
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,27,    1175.338582
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,28,    1177.039451
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",1,256,29,    1175.946191
