dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,0,     941.899207
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,1,     947.647688
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,2,     951.811458
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,3,     947.511400
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,4,     947.811925
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,5,     944.705001
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,6,     946.434734
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,7,     947.320282
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,8,     945.520446
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,9,     946.199693
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,10,     945.182097
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,11,     945.478367
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,12,     946.850281
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,13,     944.557811
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,14,     945.829911
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,15,     944.212042
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,16,     944.665296
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,17,     946.802875
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,18,     945.618341
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,19,     946.556687
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,20,     946.335869
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,21,     945.206004
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,22,     945.902058
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,23,     946.602559
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,24,     944.934987
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,25,     945.495559
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,26,     946.588215
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,27,     945.638473
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,28,     948.325954
3,float,uniform,PoisFFT,"P | P | P | P | N | D",1,256,29,     945.695787
