dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,0,     390.082543
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,1,     391.274295
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,2,     400.340346
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,3,     398.829438
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,4,     396.212249
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,5,     399.172810
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,6,     395.013225
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,7,     403.610810
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,8,     399.960903
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,9,     394.697817
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,10,     392.388783
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,11,     397.821470
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,12,     407.344832
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,13,     401.523681
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,14,     397.972165
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,15,     398.518970
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,16,     393.193240
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,17,     393.411042
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,18,     397.624021
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,19,     387.486159
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,20,     402.873180
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,21,     393.348275
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,22,     392.171828
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,23,     395.748100
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,24,     399.128988
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,25,     394.695058
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,26,     391.664464
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,27,     403.854544
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,28,     391.130605
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,29,     393.861878
