dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,0,    2079.831503
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,1,    2076.477525
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,2,    2080.258600
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,3,    2083.456203
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,4,    2081.255385
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,5,    2078.353164
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,6,    2081.704095
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,7,    2079.465798
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,8,    2081.013745
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,9,    2081.295202
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,10,    2076.964117
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,11,    2076.160215
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,12,    2073.610573
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,13,    2073.834273
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,14,    2075.614723
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,15,    2074.712993
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,16,    2073.306765
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,17,    2076.020829
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,18,    2077.122281
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,19,    2077.992132
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,20,    2077.395216
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,21,    2081.117377
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,22,    2070.599753
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,23,    2072.177287
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,24,    2069.273520
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,25,    2069.319348
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,26,    2077.012658
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,27,    2077.148062
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,28,    2073.841276
3,double,uniform,PoisFFT,"D | D | D | D | D | D",2,323,29,    2072.199471
