dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,0,     331.611055
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,1,     325.903116
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,2,     328.176289
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,3,     327.285809
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,4,     327.138941
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,5,     323.270664
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,6,     321.336468
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,7,     320.616700
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,8,     322.126725
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,9,     326.255051
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,10,     320.903392
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,11,     322.018879
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,12,     319.143981
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,13,     318.513847
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,14,     321.487153
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,15,     317.216217
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,16,     323.428434
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,17,     324.367292
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,18,     321.692054
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,19,     325.240104
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,20,     321.607073
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,21,     316.622464
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,22,     321.671612
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,23,     319.510829
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,24,     316.075504
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,25,     321.341193
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,26,     322.737393
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,27,     319.648702
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,28,     322.304226
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,29,     323.686655
