dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,0,      60.841472
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,1,      60.271785
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,2,      60.503113
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,3,      60.235059
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,4,      60.159037
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,5,      61.556629
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,6,      62.321369
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,7,      62.137903
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,8,      60.034581
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,9,      60.018269
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,10,      60.125436
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,11,      59.992512
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,12,      60.030501
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,13,      60.135061
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,14,      60.206201
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,15,      60.093374
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,16,      59.968832
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,17,      60.044457
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,18,      60.409809
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,19,      60.092054
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,20,      59.915774
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,21,      60.558613
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,22,      60.016346
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,23,      60.170118
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,24,      60.092380
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,25,      60.102649
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,26,      60.451979
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,27,      60.158818
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,28,      60.072567
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,29,      60.225681
