dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,0,     222.440732
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,1,     221.564357
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,2,     220.455825
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,3,     218.460227
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,4,     222.174142
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,5,     218.028111
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,6,     220.756409
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,7,     219.128984
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,8,     218.796048
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,9,     220.375627
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,10,     219.268461
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,11,     218.283027
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,12,     220.701332
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,13,     218.803657
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,14,     218.125675
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,15,     216.468424
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,16,     219.154187
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,17,     216.909449
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,18,     221.525913
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,19,     217.349325
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,20,     220.028712
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,21,     218.534247
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,22,     217.595010
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,23,     215.623385
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,24,     218.440152
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,25,     215.396232
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,26,     221.209406
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,27,     217.684682
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,28,     217.003192
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,323,29,     217.177823
