dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,0,     211.191540
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,1,     207.638754
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,2,     206.240691
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,3,     202.679969
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,4,     200.290995
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,5,     203.977696
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,6,     207.951586
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,7,     205.158566
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,8,     205.277322
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,9,     208.212388
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,10,     203.707817
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,11,     204.254524
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,12,     208.706078
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,13,     206.168181
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,14,     206.624980
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,15,     203.338402
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,16,     204.278910
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,17,     205.967865
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,18,     209.019258
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,19,     205.473199
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,20,     206.887266
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,21,     210.259162
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,22,     206.258488
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,23,     206.939203
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,24,     206.824217
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,25,     208.718552
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,26,     205.654542
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,27,     207.837649
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,28,     206.588272
3,float,uniform,PoisFFT,"D | D | D | D | D | D",48,323,29,     205.349743
