dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,0,     864.035702
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,1,     864.444457
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,2,     863.692025
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,3,     865.120678
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,4,     864.042558
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,5,     865.347415
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,6,     863.711095
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,7,     863.422958
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,8,     864.151854
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,9,     863.768278
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,10,     863.762671
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,11,     863.916710
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,12,     864.202971
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,13,     863.684015
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,14,     863.809798
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,15,     863.153158
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,16,     864.023775
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,17,     863.738913
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,18,     863.921891
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,19,     863.067329
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,20,     864.099994
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,21,     863.771829
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,22,     864.228855
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,23,     862.659778
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,24,     864.039921
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,25,     862.838145
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,26,     863.296937
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,27,     863.207970
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,28,     863.654366
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",1,256,29,     862.998250
