dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,0,    1704.283928
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,1,    1668.288511
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,2,    1669.243143
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,3,    1666.216702
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,4,    1669.923411
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,5,    1668.638545
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,6,    1668.136450
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,7,    1666.454400
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,8,    1670.376680
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,9,    1667.381389
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,10,    1667.716248
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,11,    1668.989382
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,12,    1666.819301
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,13,    1664.274375
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,14,    1661.968129
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,15,    1664.164724
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,16,    1669.462337
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,17,    1667.425969
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,18,    1662.353698
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,19,    1662.031713
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,20,    1660.470279
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,21,    1660.814756
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,22,    1663.626708
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,23,    1660.161398
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,24,    1661.836497
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,25,    1665.271654
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,26,    1666.600488
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,27,    1666.747774
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,28,    1666.367255
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",2,323,29,    1667.795044
