dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,0,      73.449528
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,1,      64.505116
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,2,      64.690232
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,3,      64.763434
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,4,      64.635858
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,5,      64.701134
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,6,      64.650731
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,7,      64.880393
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,8,      64.788643
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,9,      64.880299
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,10,      64.632644
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,11,      64.576116
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,12,      64.813033
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,13,      64.597060
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,14,      64.814034
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,15,      64.578651
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,16,      64.441430
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,17,      64.721673
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,18,      64.475282
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,19,      64.368785
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,20,      65.081150
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,21,      65.109693
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,22,      64.871417
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,23,      64.699796
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,24,      65.742667
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,25,      64.421861
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,26,      65.254413
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,27,      67.827704
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,28,      64.928097
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,29,      64.636735
