dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,0,      95.804583
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,1,      95.193851
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,2,      95.110647
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,3,      95.315856
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,4,      96.731777
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,5,      95.269532
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,6,      95.046498
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,7,      95.703063
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,8,      95.154160
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,9,      95.540960
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,10,      95.305598
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,11,      95.893154
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,12,      95.171478
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,13,      95.826372
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,14,      95.545436
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,15,      95.350851
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,16,      95.463851
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,17,      95.464646
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,18,      95.506043
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,19,      95.669186
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,20,      94.946893
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,21,      95.624024
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,22,      95.533043
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,23,      95.919453
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,24,      95.959300
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,25,      94.812464
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,26,      95.270783
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,27,      95.393972
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,28,      95.106424
3,double,uniform,PoisFFT,"D | D | D | D | N | D",8,161,29,      95.050472
