dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,0,     324.861668
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,1,     319.388215
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,2,     320.195350
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,3,     320.064752
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,4,     318.207310
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,5,     315.430804
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,6,     316.131365
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,7,     313.617960
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,8,     324.439022
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,9,     321.069509
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,10,     322.729824
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,11,     323.931041
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,12,     328.084657
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,13,     325.490378
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,14,     315.045328
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,15,     324.624138
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,16,     327.903413
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,17,     328.583361
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,18,     322.862251
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,19,     324.767639
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,20,     322.240754
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,21,     320.827167
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,22,     332.956877
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,23,     328.189450
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,24,     323.497395
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,25,     327.197451
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,26,     321.287036
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,27,     320.573414
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,28,     321.693948
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,369,29,     324.515010
