dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,0,    4120.225235
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,1,    4039.309520
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,2,    4052.640179
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,3,    4051.319808
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,4,    4039.473481
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,5,    4036.201062
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,6,    4036.086787
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,7,    4024.651909
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,8,    4025.700584
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,9,    4027.052266
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,10,    4038.668029
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,11,    4029.976401
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,12,    4043.223018
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,13,    4041.183062
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,14,    4028.310271
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,15,    4036.205116
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,16,    4024.568661
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,17,    4038.215795
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,18,    4032.921011
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,19,    4024.982699
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,20,    4045.797233
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,21,    4032.256880
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,22,    4031.767500
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,23,    4037.669047
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,24,    4027.241965
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,25,    4029.867062
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,26,    4026.298245
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,27,    4037.170593
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,28,    4030.415812
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,369,29,    4031.057038
