dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,0,    3476.360388
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,1,    3474.825784
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,2,    3474.984635
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,3,    3473.487667
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,4,    3470.839787
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,5,    3469.953416
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,6,    3474.389614
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,7,    3472.320262
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,8,    3473.095552
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,9,    3473.931417
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,10,    3469.979739
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,11,    3473.302905
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,12,    3473.733290
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,13,    3473.660658
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,14,    3473.473945
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,15,    3473.392275
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,16,    3476.761197
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,17,    3472.028510
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,18,    3474.607866
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,19,    3473.641237
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,20,    3473.868473
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,21,    3473.255543
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,22,    3468.150488
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,23,    3468.028217
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,24,    3468.594899
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,25,    3465.763029
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,26,    3467.927758
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,27,    3472.340617
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,28,    3474.702119
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",6,465,29,    3473.582868
