dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,0,    3538.137249
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,1,    3437.824002
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,2,    3413.421765
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,3,    3429.788653
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,4,    3436.033443
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,5,    3425.464242
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,6,    3427.302211
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,7,    3420.611656
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,8,    3424.893848
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,9,    3419.310015
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,10,    3424.412345
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,11,    3422.954860
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,12,    3418.849124
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,13,    3438.071126
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,14,    3484.548852
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,15,    3447.318371
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,16,    3434.786940
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,17,    3428.249167
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,18,    3421.810664
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,19,    3423.819649
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,20,    3425.861761
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,21,    3423.127627
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,22,    3426.786965
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,23,    3426.972927
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,24,    3423.814992
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,25,    3427.764674
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,26,    3422.246973
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,27,    3425.022940
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,28,    3427.042333
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,406,29,    3426.609079
