dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,0,     322.143849
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,1,     324.381637
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,2,     328.241363
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,3,     321.885584
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,4,     324.479160
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,5,     325.243424
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,6,     328.344447
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,7,     333.997133
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,8,     337.556341
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,9,     331.794769
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,10,     326.243218
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,11,     325.553187
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,12,     323.542383
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,13,     342.668226
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,14,     319.661772
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,15,     335.524026
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,16,     335.914364
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,17,     335.411302
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,18,     337.857044
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,19,     336.140318
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,20,     336.153120
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,21,     326.941304
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,22,     339.819498
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,23,     345.296859
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,24,     340.616544
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,25,     335.873945
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,26,     336.419532
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,27,     322.052918
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,28,     333.278806
3,float,uniform,PoisFFT,"P | P | P | P | N | D",64,369,29,     333.674529
