dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,0,     878.236068
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,1,     883.222446
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,2,     882.743401
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,3,     883.261222
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,4,     882.019833
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,5,     882.188130
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,6,     882.060835
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,7,     884.133020
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,8,     882.071992
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,9,     881.674515
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,10,     882.156665
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,11,     882.288692
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,12,     880.794564
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,13,     882.042601
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,14,     881.089090
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,15,     883.096596
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,16,     881.870523
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,17,     879.984558
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,18,     881.928200
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,19,     880.148491
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,20,     882.902017
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,21,     882.651757
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,22,     884.502671
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,23,     880.751610
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,24,     881.012736
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,25,     881.084719
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,26,     882.994684
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,27,     881.334667
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,28,     880.807453
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,29,     881.163148
