dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,0,     831.958426
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,1,     828.922507
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,2,     826.138899
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,3,     824.108630
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,4,     825.888376
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,5,     824.528907
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,6,     826.862465
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,7,     824.206775
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,8,     824.486498
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,9,     823.311644
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,10,     824.719667
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,11,     823.611328
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,12,     823.020381
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,13,     825.241196
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,14,     826.383728
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,15,     829.658675
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,16,     825.886954
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,17,     825.552347
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,18,     825.360987
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,19,     828.051092
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,20,     824.738221
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,21,     827.663773
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,22,     828.234249
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,23,     826.551681
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,24,     825.331579
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,25,     824.029223
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,26,     828.829154
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,27,     830.026960
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,28,     828.266053
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,256,29,     829.677787
