dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,0,    1550.062436
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,1,    1548.463060
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,2,    1537.607835
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,3,    1534.217248
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,4,    1532.405652
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,5,    1555.995795
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,6,    1549.029378
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,7,    1555.078571
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,8,    1557.668336
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,9,    1563.136982
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,10,    1565.669271
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,11,    1563.618071
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,12,    1559.720047
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,13,    1555.423349
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,14,    1559.502881
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,15,    1558.509485
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,16,    1564.619091
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,17,    1561.955800
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,18,    1566.247382
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,19,    1562.554643
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,20,    1558.829219
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,21,    1557.710839
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,22,    1559.796505
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,23,    1557.811958
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,24,    1566.317840
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,25,    1566.158436
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,26,    1565.891660
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,27,    1565.047982
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,28,    1561.569241
3,float,uniform,PoisFFT,"D | D | D | D | N | D",2,323,29,    1564.193586
