dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,0,    1641.040901
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,1,    1616.724744
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,2,    1613.663830
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,3,    1613.604061
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,4,    1604.685910
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,5,    1609.273100
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,6,    1614.616456
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,7,    1614.504036
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,8,    1616.808188
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,9,    1611.895807
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,10,    1612.186323
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,11,    1612.338375
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,12,    1605.752374
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,13,    1607.996204
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,14,    1614.837767
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,15,    1613.496600
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,16,    1597.881027
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,17,    1609.720039
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,18,    1618.599096
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,19,    1604.103290
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,20,    1605.911175
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,21,    1604.143104
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,22,    1605.174027
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,23,    1606.681432
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,24,    1615.390992
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,25,    1616.568927
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,26,    1614.024383
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,27,    1613.668267
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,28,    1610.591050
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",2,323,29,    1612.920541
