dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,0,    1055.917504
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,1,    1056.432849
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,2,    1058.698559
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,3,    1057.211977
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,4,    1056.820545
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,5,    1056.715125
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,6,    1056.443572
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,7,    1056.968271
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,8,    1057.042899
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,9,    1057.428474
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,10,    1056.340259
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,11,    1057.299731
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,12,    1055.723612
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,13,    1057.126553
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,14,    1057.239454
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,15,    1056.254831
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,16,    1055.058523
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,17,    1055.585814
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,18,    1056.934295
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,19,    1056.588662
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,20,    1057.303564
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,21,    1057.349787
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,22,    1057.339235
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,23,    1058.207485
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,24,    1056.502576
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,25,    1056.098309
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,26,    1057.215586
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,27,    1057.948974
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,28,    1057.154287
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,29,    1056.555185
