dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,0,     872.144183
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,1,     864.294599
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,2,     862.464194
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,3,     863.489717
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,4,     864.512594
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,5,     865.190496
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,6,     865.548788
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,7,     863.621797
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,8,     864.801721
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,9,     862.860457
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,10,     863.174584
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,11,     862.721088
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,12,     864.102191
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,13,     862.565654
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,14,     863.881090
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,15,     864.099586
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,16,     863.023728
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,17,     863.975265
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,18,     862.893739
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,19,     864.615374
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,20,     871.456421
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,21,     869.763050
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,22,     862.640413
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,23,     863.300467
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,24,     862.741419
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,25,     865.154247
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,26,     866.727339
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,27,     868.740567
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,28,     865.910912
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",1,256,29,     867.772851
