dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,0,     375.617581
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,1,     376.641491
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,2,     372.568711
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,3,     372.976142
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,4,     377.915033
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,5,     388.991648
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,6,     371.342922
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,7,     372.407130
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,8,     376.356872
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,9,     389.738839
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,10,     371.973310
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,11,     375.319613
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,12,     376.880835
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,13,     376.255699
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,14,     378.251555
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,15,     377.211395
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,16,     374.060623
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,17,     372.777834
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,18,     371.637740
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,19,     372.632750
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,20,     373.071940
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,21,     377.120217
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,22,     374.241196
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,23,     373.798010
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,24,     381.926490
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,25,     373.636284
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,26,     371.443492
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,27,     385.892890
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,28,     373.424198
3,float,uniform,PoisFFT,"D | D | D | D | N | D",48,323,29,     377.122974
