dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,0,      67.477041
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,1,      66.430479
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,2,      66.503955
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,3,      66.264256
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,4,      66.170179
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,5,      69.383495
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,6,      68.963453
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,7,      66.193196
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,8,      66.208332
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,9,      66.565508
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,10,      66.409674
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,11,      66.315434
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,12,      66.825342
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,13,      66.660485
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,14,      66.149998
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,15,      66.508999
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,16,      66.418056
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,17,      66.284825
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,18,      66.363528
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,19,      66.258142
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,20,      66.201919
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,21,      66.511386
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,22,      66.630330
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,23,      66.888568
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,24,      66.618057
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,25,      66.674023
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,26,      66.666098
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,27,      66.641989
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,28,      66.665400
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",8,161,29,      66.572152
