dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,0,     101.358015
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,1,      96.976839
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,2,      97.243466
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,3,      97.141973
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,4,      99.547606
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,5,      98.442641
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,6,      97.057768
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,7,      96.762260
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,8,      96.758811
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,9,      96.915977
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,10,      96.720527
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,11,      96.774327
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,12,      97.057465
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,13,      96.740374
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,14,      96.864403
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,15,      96.833277
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,16,      97.230747
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,17,      97.508610
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,18,      97.000677
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,19,      96.974367
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,20,      96.863506
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,21,      97.360068
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,22,      96.960108
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,23,      96.997554
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,24,     101.432777
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,25,      96.963888
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,26,      96.908292
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,27,      96.661895
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,28,      96.928226
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,29,      96.992165
