dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,0,     376.015808
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,1,     371.631220
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,2,     370.732330
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,3,     366.114138
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,4,     368.687588
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,5,     365.088711
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,6,     365.995680
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,7,     367.724601
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,8,     366.603810
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,9,     371.069036
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,10,     370.745755
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,11,     361.597985
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,12,     365.820737
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,13,     363.102798
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,14,     366.341731
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,15,     364.474235
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,16,     368.006318
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,17,     365.242915
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,18,     364.763597
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,19,     364.513877
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,20,     364.013074
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,21,     363.315992
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,22,     364.446646
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,23,     366.957598
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,24,     365.968416
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,25,     371.206789
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,26,     364.117156
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,27,     365.270148
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,28,     362.778949
3,float,uniform,PoisFFT,"D | D | D | D | D | D",64,369,29,     364.543188
