dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,0,     411.628578
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,1,     408.210858
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,2,     407.113969
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,3,     390.236002
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,4,     396.219150
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,5,     398.083326
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,6,     395.510460
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,7,     392.253878
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,8,     402.203133
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,9,     395.634714
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,10,     396.166748
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,11,     405.316916
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,12,     406.968504
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,13,     403.495040
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,14,     386.477103
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,15,     486.792797
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,16,     404.706174
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,17,     414.123017
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,18,     412.742155
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,19,     403.599654
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,20,     406.245817
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,21,     418.204824
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,22,     389.106469
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,23,     406.397842
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,24,     398.827289
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,25,     406.263590
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,26,     406.961021
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,27,     407.399330
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,28,     416.888142
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",48,323,29,     403.296992
