dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,0,      50.225321
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,1,      47.070586
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,2,      47.270963
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,3,      47.646498
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,4,      47.487186
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,5,      47.115940
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,6,      47.717182
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,7,      47.174519
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,8,      47.856161
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,9,      47.881890
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,10,      47.103364
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,11,      47.959982
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,12,      47.112994
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,13,      47.194835
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,14,      50.585923
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,15,      47.675943
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,16,      46.993131
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,17,      48.023062
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,18,      47.163417
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,19,      47.440219
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,20,      47.021960
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,21,      47.612104
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,22,      47.822570
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,23,      46.970414
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,24,      47.205654
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,25,      47.263432
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,26,      47.242988
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,27,      47.105616
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,28,      46.992480
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",8,161,29,      47.256024
