dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,0,    5120.919217
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,1,    5118.250062
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,2,    5117.956157
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,3,    5121.292099
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,4,    5117.781846
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,5,    5121.291245
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,6,    5117.345031
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,7,    5117.968007
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,8,    5120.456751
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,9,    5119.951272
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,10,    5117.602081
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,11,    5119.290907
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,12,    5117.665709
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,13,    5116.801368
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,14,    5119.928221
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,15,    5115.913325
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,16,    5119.892128
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,17,    5119.902073
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,18,    5119.458582
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,19,    5116.489413
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,20,    5119.086839
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,21,    5116.744180
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,22,    5116.164445
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,23,    5118.445012
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,24,    5118.639063
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,25,    5116.710081
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,26,    5119.438609
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,27,    5119.530064
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,28,    5120.179239
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,256,29,    5118.036381
