dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,0,    2370.434087
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,1,    2324.264255
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,2,    2319.535767
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,3,    2324.021227
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,4,    2322.893670
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,5,    2339.430084
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,6,    2334.078942
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,7,    2327.798554
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,8,    2311.667794
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,9,    2309.592089
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,10,    2309.934953
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,11,    2305.155378
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,12,    2305.368631
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,13,    2302.462149
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,14,    2306.144290
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,15,    2310.310182
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,16,    2307.034243
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,17,    2309.973378
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,18,    2306.566962
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,19,    2315.990472
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,20,    2302.089204
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,21,    2305.353603
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,22,    2308.745475
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,23,    2299.966991
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,24,    2302.373460
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,25,    2304.300017
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,26,    2307.112402
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,27,    2302.546324
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,28,    2298.638755
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",48,323,29,    2297.433688
