dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,0,      83.080376
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,1,      77.016500
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,2,      77.642129
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,3,      77.766917
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,4,      77.198889
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,5,      76.989169
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,6,      77.377232
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,7,      77.364821
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,8,      81.110658
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,9,      77.608757
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,10,      77.221262
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,11,      76.947176
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,12,      77.441512
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,13,      77.151340
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,14,      77.442832
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,15,      77.284946
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,16,      77.023702
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,17,      77.242245
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,18,      77.242285
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,19,      77.038054
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,20,      77.542969
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,21,      77.336466
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,22,      77.209795
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,23,      77.449337
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,24,      77.240504
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,25,      77.111730
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,26,      77.523925
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,27,      77.601942
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,28,      77.108920
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,161,29,      77.174111
