dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,0,      54.610120
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,1,      54.209156
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,2,      54.410975
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,3,      54.409705
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,4,      54.206450
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,5,      54.119920
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,6,      54.161264
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,7,      54.621065
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,8,      54.135858
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,9,      54.097994
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,10,      54.147715
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,11,      54.240937
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,12,      54.134891
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,13,      54.207649
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,14,      54.030888
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,15,      54.111476
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,16,      55.645585
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,17,      54.185792
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,18,      54.251636
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,19,      54.105071
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,20,      54.164856
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,21,      54.161394
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,22,      54.034302
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,23,      54.296824
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,24,      54.700352
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,25,      54.021422
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,26,      54.102796
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,27,      54.190836
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,28,      55.093127
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",32,256,29,      56.554702
