dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,0,      50.229358
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,1,      47.745009
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,2,      47.280498
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,3,      48.869477
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,4,      48.916000
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,5,      47.991154
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,6,      50.476253
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,7,      48.039952
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,8,      48.018748
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,9,      47.409783
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,10,      47.085836
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,11,      48.252339
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,12,      49.129264
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,13,      48.791433
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,14,      48.688905
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,15,      47.238320
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,16,      48.168979
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,17,      49.268092
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,18,      47.984600
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,19,      47.798818
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,20,      48.050479
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,21,      47.825756
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,22,      48.583519
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,23,      48.368486
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,24,      48.542307
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,25,      48.052606
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,26,      48.372847
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,27,      47.532753
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,28,      47.212729
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,161,29,      47.263334
