dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,0,    2000.483302
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,1,    1991.476454
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,2,    1995.362060
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,3,    1994.717509
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,4,    1988.470980
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,5,    1995.924418
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,6,    1995.733705
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,7,    1991.304081
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,8,    1975.646027
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,9,    1977.214376
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,10,    1978.378180
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,11,    1971.803375
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,12,    1974.608290
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,13,    1972.043712
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,14,    1993.488294
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,15,    1996.030718
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,16,    1995.310064
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,17,    1989.672412
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,18,    1997.918072
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,19,    1993.380918
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,20,    1983.601137
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,21,    1984.821288
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,22,    1985.154371
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,23,    1976.692848
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,24,    1991.302148
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,25,    1994.331198
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,26,    1974.545872
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,27,    1988.887611
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,28,    1984.685114
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,29,    1986.712334
