dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,0,      45.838259
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,1,      43.671679
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,2,      41.014562
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,3,      40.744914
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,4,      40.974763
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,5,      40.483568
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,6,      41.273291
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,7,      41.189157
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,8,      40.910154
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,9,      40.726754
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,10,      40.889209
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,11,      40.626688
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,12,      41.012845
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,13,      40.454072
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,14,      40.851012
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,15,      41.003728
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,16,      41.107328
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,17,      40.541300
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,18,      40.844788
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,19,      41.142504
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,20,      40.509731
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,21,      40.838080
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,22,      40.789598
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,23,      41.011930
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,24,      40.752164
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,25,      40.939954
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,26,      40.889010
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,27,      41.257668
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,28,      40.983317
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,256,29,      41.046788
