dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,0,     573.579249
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,1,     556.690235
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,2,     564.273872
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,3,     557.146319
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,4,     558.478162
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,5,     565.825053
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,6,     566.953017
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,7,     553.984443
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,8,     561.117088
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,9,     564.969326
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,10,     565.635835
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,11,     574.341799
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,12,     553.551769
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,13,     555.487720
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,14,     561.577065
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,15,     556.640492
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,16,     551.741983
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,17,     560.193592
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,18,     571.178379
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,19,     568.920914
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,20,     567.998554
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,21,     567.794126
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,22,     552.800596
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,23,     559.424186
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,24,     570.888681
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,25,     557.200050
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,26,     556.952475
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,27,     576.588237
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,28,     557.927218
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,369,29,     561.767981
